performer_id,performer_stage_name,former_stage_names,pct_female,last_update,,
1,Zach Bryan,,0,12/10/2024,,
2,Morgan Wallen,,0,12/10/2024,,
3,Beyonce,,1,12/10/2024,,
4,Megan Moroney,,1,12/10/2024,,
5,Jelly Roll,JellyRoll,0,12/10/2024,,
6,Luke Combs,,0,12/10/2024,,
7,Dylan Scott,,0,12/10/2024,,
8,Bailey Zimmerman,,0,12/10/2024,,
9,Tucker Wetmore,,0,12/10/2024,,
10,Cody Johnson,,0,12/10/2024,,
11,Lainey Wilson,,1,12/10/2024,,
12,Chris Stapleton,,0,12/10/2024,,
13,Jessie Murph,,1,12/10/2024,,
14,Nate Smith,,0,12/10/2024,,
15,Post Malone,,0,12/10/2024,,
16,Koe Wetzel,,0,12/10/2024,,
17,Brandon Coleman,,0,12/10/2024,The Red Clay Strays,
18,Andrew Bishop,,0,12/10/2024,The Red Clay Strays,
19,Drew Nix,,0,12/10/2024,The Red Clay Strays,
20,John Hall,,0,12/10/2024,The Red Clay Strays,
21,Zach Rishel,,0,12/10/2024,The Red Clay Strays,Always…
22,Chase Matthew,,0,12/10/2024,,
23,Bryan Martin,,0,12/10/2024,,
24,Kane Brown,,0,12/10/2024,,
25,Jason Aldean,,0,12/10/2024,,
26,Thomas Rhett,,0,12/10/2024,,
27,Carly Pearce,,1,12/10/2024,,
28,Warren Zeiders,,0,12/10/2024,,
29,Shaboozey,,0,12/10/2024,,
30,Dasha,,1,12/10/2024,,
31,Ashley Cooke,,1,12/10/2024,,
32,Zac Brown,,0,12/10/2024,Zac Brown Band,2002-
33,Coy Bowles,,0,12/10/2024,Zac Brown Band,2007-
34,Clay Cook,,0,12/10/2024,Zac Brown Band,Jan 2009-
35,Daniel de los Reyes,,0,12/10/2024,Zac Brown Band,2012-
36,Matt Mangano,,0,12/10/2024,Zac Brown Band,2014-
37,Jimmy De Martini,,0,12/10/2024,Zac Brown Band,2004-
38,Chris Fryar,,0,12/10/2024,Zac Brown Band,2008-
39,John Driskell Hopkins,,0,12/10/2024,Zac Brown Band,2005-
40,Caroline Jones,,1,12/10/2024,Zac Brown Band,2022-
41,Tim Ussery,,0,12/10/2024,Zac Brown Band,2003-2005
42,Jacob Lawson,,0,12/10/2024,Zac Brown Band,2003-2005
43,Marcus Petruska,,0,12/10/2024,Zac Brown Band,2003-2008
44,Joel Williams,,0,12/10/2024,Zac Brown Band,2005-2008
45,mgk,Machine Gun Kelly,0,12/10/2024,,
46,Kacey Musgraves,,1,12/10/2024,,
47,Tanner Adell,,1,12/10/2024,,
48,Brittney Spencer,,1,12/10/2024,,
49,Tiera Kennedy,,1,12/10/2024,,
50,Reyna Roberts,,1,12/10/2024,,
51,Dustin Lynch,,0,12/10/2024,,
52,Chris Young,,0,12/10/2024,,
53,ERNEST,,0,12/10/2024,,
54,Luke Bryan,,0,12/10/2024,,
55,Riley Green,,0,12/10/2024,,
56,Tyler Braden,,0,12/10/2024,,
57,Marshmello,Dotcom,0,12/10/2024,,
58,Drew Baldridge,,0,12/10/2024,,
59,Bayker Blankenship,,0,12/10/2024,,
