song_id,song_name,untracked_weeks_on_chart,last_update
1,I Remember Everything,21.0,2024-8-23
2,Last Night,51.0,2024-8-23
3,Thinkin' Bout Me,46.0,2024-8-23
4,Fast Car,43.0,2024-8-23
5,White Horse,26.0,2024-8-23
6,World On Fire,32.0,2024-8-23
7,Need A Favor,51.0,2024-8-23
8,Pretty Little Poison,32.0,2024-8-23
9,Save Me,34.0,2024-8-23
10,Wild Ones,15.0,2024-8-23
11,Truck Bed,42.0,2024-8-23
12,Where The Wild Things Are,13.0,2024-8-23
13,The Painter,23.0,2024-8-23
14,Burn It Down,30.0,2024-8-23
15,Different 'Round Here,22.0,2024-8-23
16,Man Made A Bar,22.0,2024-8-23
17,Blackbiird,0.0,2024-8-23
18,Jolene,0.0,2024-8-23
19,Jolene,,2024-8-23
20,Save Me The Trouble,25.0,2024-8-23
21,Dirt Cheap,11.0,2024-8-23
22,Think I'm In Love With You,10.0,2024-8-23
23,Love You Again,13.0,2024-8-23
24,Bulletproof,0.0,2024-8-23
25,Chevrolet,1.0,2024-8-23
26,Holy Smokes,0.0,2024-8-23
27,Austin,0.0,2024-8-23
28,Nine Ball,3.0,2024-8-23
29,Young Love & Saturday Nights,0.0,2024-8-23
30,Wind Up Missin' You,0.0,2024-8-23
31,What He'll Never Have,0.0,2024-8-23
32,Cowgirls,12.0,2024-8-23
33,"Love You, Miss You, Mean It",0.0,2024-8-23
34,A Bar Song (Tipsy),0.0,2024-8-23
35,Worst Way,0.0,2024-8-23
36,Devil You Know,0.0,2024-8-23
37,Miles On It,0.0,2024-8-23
38,I Had Some Help,0.0,2024-8-23
39,Beautiful As You,0.0,2024-8-23
40,Ain't No Love In Oklahoma,0.0,2024-8-23
41,Sweet Dreams,0.0,2024-8-23
42,Hang Tight Honey,0.0,2024-8-23
43,Pink Skies,0.0,2024-8-23
44,She's Somebody's Daughter (Reimagined),0.0,2024-8-23
45,Wanna Be Loved,0.0,2024-8-23
46,Maxed Out,0.0,2024-8-23
47,High Road,0.0,2024-8-23
48,I Am Not Okay,0.0,2024-8-23
49,Relapse,0.0,2024-8-23
50,Whiskey Whiskey,0.0,2024-8-23
51,Remember Him That Way,0.0,2024-8-23
52,Pour Me A Drink,0.0,2024-8-23
53,You Look Like You Love Me,0.0,2024-8-23
54,Drink Don't Need No Mix,0.0,2024-8-23
55,Cowboys Cry Too,0.0,2024-8-23
56,American Nights,0.0,2024-8-23
57,28,0.0,2024-8-23
58,Lies Lies Lies,0.0,2024-8-23
59,Better Days,0.0,2024-8-23
60,Oak Island,0.0,2024-8-23
61,Bass Boat,0.0,2024-8-23
62,Am I Okay?,0.0,2024-8-23
63,Out Of Oklahoma,0.0,2024-8-23
64,Guy For That,0.0,2024-8-23
65,Lonely Road,0.0,2024-8-23
66,This Is My Dirt,0.0,2024-8-23
67,Liar,0.0,2024-8-23
68,Just Like Johnny,0.0,2024-8-23
69,I Never Lie,0.0,2024-8-23
70,Sounds Like The Radio,0.0,2024-8-23
71,Sandpaper,0.0,2024-08-27
72,Indifferent,0.0,2024-08-27
73,The Way Back,0.0,2024-08-27
74,Mama I Lied,0.0,2024-08-27
75,New To Country,0.0,2024-08-27
76,Wrong Ones,0.0,2024-08-29
77,Losers,0.0,2024-08-29
78,California Sober,0.0,2024-08-29
79,What Don't Belong To Me,0.0,2024-08-29
80,Finer Things,0.0,2024-08-29
81,Nosedive,0.0,2024-08-29
82,Yours,0.0,2024-08-29
83,Goes Without Saying,0.0,2024-08-29
84,Missin' You Like This,0.0,2024-08-29
85,Hide My Gun,0.0,2024-08-29
86,Devil I've Been,0.0,2024-08-29
87,Never Love You Again,0.0,2024-08-29
88,M-E-X-I-C-O,0.0,2024-08-29
89,Right About You,0.0,2024-08-29
90,Have The Heart,0.0,2024-08-30
91,Dead End Road,0.0,2024-09-08
92,The Great American Bar Scene,0.0,2024-09-08
93,Boys Back Home,6.0,2024-09-08
94,Purple Gas,0.0,2024-09-08
95,Boons,0.0,2024-09-08
96,Mechanical Bull,0.0,2024-09-08
97,Northern Thunder,0.0,2024-09-08
98,We Ride,26.0,2024-09-09
99,Wine Into Whiskey,0.0,2024-09-09
100,Memphis; The Blues,0.0,2024-09-09
101,Like Ida,0.0,2024-09-09
102,Towers,0.0,2024-09-09
103,Funny Man,0.0,2024-09-09
104,Lucky Enough (Poem),0.0,2024-09-09
105,Bathwater,0.0,2024-09-09
106,Fix What You Didn't Break,0.0,2024-09-10
107,Porch Light,0.0,2024-09-10
108,Let Your Boys Be Country,1.0,2024-09-13
109,The Man He Sees In Me,0.0,2024-09-13
110,I'm Not Pretty,20.0,2024-09-13
111,Smoke & A Light,0.0,2024-09-13
112,Sun To Me,0.0,2024-09-13
113,Coming Home,0.0,2024-09-13
114,Song While You're Away,0.0,2024-09-13
115,Halfway To Hell,2.0,2024-09-13
116,Texas Hold 'Em,0.0,2024-09-13
117,We Don't Fight Anymore,22.0,2024-09-13
118,Take Her Home,1.0,2024-09-13
119,My Fault,0.0,2024-09-13
120,Huntin' By Yourself,0.0,2024-09-13
121,Front Door Famous,0.0,2024-09-13
122,Your Place,2.0,2024-09-13
123,In Case I Ain't Around,0.0,2024-09-13
124,Little Country Boys,0.0,2024-09-13
125,Whoever You Turn Out To Be,0.0,2024-09-13
126,Wondering Why,7.0,2024-09-14
127,Spin You Around (1/24),0.0,2024-09-14
128,II Most Wanted,0.0,2024-09-14
129,Hell Or High Water,0.0,2024-09-14
130,Damn Near Normal,0.0,2024-09-14
